"","Latitude","Longitude","Cal BP(Maximun probability)","error(yr)","R","sdR","pair","reference","obs","period","label"
"124","-14.07","-76.5","30","4.5","222.23","145.42","6","Gutierrez et al. 2009","strickly relationship","CWP","-14.07/30/-76.5"
"125","-14.07","-76.5","67","4.5","181.03","154.33","7","Gutierrez et al. 2009","strickly relationship","CWP","-14.07/67/-76.5"
"126","-14.07","-76.5","90","5.5","162.11","156.35","8","Gutierrez et al. 2009","strickly relationship","CWP","-14.07/90/-76.5"
"127","-12.06","-77.16","48","2.5","166.04","129.05","1","Jones et al. 2007","strickly relationship","CWP","-12.06/48/-77.16"
"128","-12.06","-77.16","48","2.5","116.78","94.8","2","Jones et al. 2007","strickly relationship","CWP","-12.06/48/-77.16"
"129","-12.06","-77.16","48","2.5","172.81","132.79","3","Jones et al. 2007","strickly relationship","CWP","-12.06/48/-77.16"
"130","-12.06","-77.16","48","2.5","207.14","131.07","4","Jones et al. 2007","strickly relationship","CWP","-12.06/48/-77.16"
"131","-12.06","-77.16","48","2.5","171.72","117.87","5","Jones et al. 2007","strickly relationship","CWP","-12.06/48/-77.16"
"132","-12.06","-77.16","48","2.5","157.12","112.62","6","Jones et al. 2007","strickly relationship","CWP","-12.06/48/-77.16"
"133","-12.06","-77.16","48","2.5","159.77","126.99","7","Jones et al. 2007","strickly relationship","CWP","-12.06/48/-77.16"
"134","-12.06","-77.16","48","2.5","169.37","131.88","8","Jones et al. 2007","strickly relationship","CWP","-12.06/48/-77.16"
"135","-5.75","-81","48","2.5","157.18","112.64","9","Jones et al. 2007","strickly relationship","CWP","-5.75/48/-81"
"136","-5.75","-81","48","2.5","207.23","133.96","10","Jones et al. 2007","strickly relationship","CWP","-5.75/48/-81"
"137","-5.75","-81","48","2.5","148.24","121.9","11","Jones et al. 2007","strickly relationship","CWP","-5.75/48/-81"
"138","-5.75","-81","48","2.5","160.67","125.83","12","Jones et al. 2007","strickly relationship","CWP","-5.75/48/-81"
"139","-12.06","-77.16","30","2.5","227.99","136.83","13","Jones et al. 2007","strickly relationship","CWP","-12.06/30/-77.16"
"140","-12.06","-77.16","30","2.5","186.14","129.64","14","Jones et al. 2007","strickly relationship","CWP","-12.06/30/-77.16"
"141","-12.06","-77.16","30","2.5","184.46","129.18","15","Jones et al. 2007","strickly relationship","CWP","-12.06/30/-77.16"
"142","-12.06","-77.16","30","2.5","194.02","135.18","16","Jones et al. 2007","strickly relationship","CWP","-12.06/30/-77.16"
"143","-12.06","-77.16","30","2.5","229.85","133.89","17","Jones et al. 2007","strickly relationship","CWP","-12.06/30/-77.16"
"144","-12.06","-77.16","30","2.5","154.7","105.23","18","Jones et al. 2007","strickly relationship","CWP","-12.06/30/-77.16"
"145","-8.23","-79","30","2.5","187.58","117.06","19","Jones et al. 2007","strickly relationship","CWP","-8.23/30/-79"
"146","-8.23","-79","30","2.5","185.08","116.1","20","Jones et al. 2007","strickly relationship","CWP","-8.23/30/-79"
"147","-8.23","-79","30","2.5","185.61","126.49","21","Jones et al. 2007","strickly relationship","CWP","-8.23/30/-79"
"148","-8.23","-79","30","2.5","130.27","101.68","22","Jones et al. 2007","strickly relationship","CWP","-8.23/30/-79"
"149","-18.04","-70.83","8040","106","636.38","338.3","1","Fontugne et al. 2004","not relationship","EH","-18.04/8040/-70.83"
"150","-18.04","-70.83","6630","71","503.53","260.33","2","Fontugne et al. 2004","not relationship","EH","-18.04/6630/-70.83"
"151","-18.04","-70.83","7320","81","296.89","283.26","3","Fontugne et al. 2004","not relationship","EH","-18.04/7320/-70.83"
"152","-18.04","-70.83","6940","60.5","443.34","241.59","4","Fontugne et al. 2004","not relationship","EH","-18.04/6940/-70.83"
"153","-18.04","-70.83","6460","60.5","-132.93","315.17","5","Fontugne et al. 2004","not relationship","EH","-18.04/6460/-70.83"
"154","-18.04","-70.83","6510","60.5","-183.16","315.65","6","Fontugne et al. 2004","not relationship","EH","-18.04/6510/-70.83"
"155","-18.04","-70.83","8160","71","1235.53","474.73","7","Fontugne et al. 2004","strickly relationship","EH","-18.04/8160/-70.83"
"156","-18.04","-70.83","8040","106","1174.03","337.27","8","Fontugne et al. 2004","strickly relationship","EH","-18.04/8040/-70.83"
"157","-18.04","-70.83","3700","40.5","752.43","268.3","9","Fontugne et al. 2004","strickly relationship","LH","-18.04/3700/-70.83"
"158","-18.04","-70.83","6090","81","1239.31","312.49","10","Fontugne et al. 2004","strickly relationship","EH","-18.04/6090/-70.83"
"159","-18.04","-70.83","6560","91","1225.1","329.99","11","Fontugne et al. 2004","strickly relationship","EH","-18.04/6560/-70.83"
"160","-18.04","-70.83","7390","50.5","1049.77","227.81","12","Fontugne et al. 2004","strickly relationship","EH","-18.04/7390/-70.83"
"161","-18.04","-70.83","6595","76","862.91","301.23","13","Fontugne et al. 2004","strickly relationship","EH","-18.04/6595/-70.83"
"162","-18.04","-70.83","3120","81","217.98","383.67","14","Fontugne et al. 2004","strickly relationship","LH","-18.04/3120/-70.83"
"163","-18.04","-70.83","6500","81","1570.69","381.06","15","Fontugne et al. 2004","strickly relationship","EH","-18.04/6500/-70.83"
"164","-18.04","-70.83","375","30.5","81.08","163.36","16","Fontugne et al. 2004","strickly relationship","CWP-LH","-18.04/375/-70.83"
"165","-18.04","-70.83","6090","111","835.27","344.29","17","Fontugne et al. 2004","strickly relationship","EH","-18.04/6090/-70.83"
"166","-18.04","-70.83","8650","71","1939.69","392.97","18","Fontugne et al. 2004","strickly relationship","EH","-18.04/8650/-70.83"
"167","-18.04","-70.83","7360","101","810.74","360.39","19","Fontugne et al. 2004","strickly relationship","EH","-18.04/7360/-70.83"
"168","-17.6","-71.23","658","146.5","93.48","212.07","1","Owen 2002","strickly relationship","CWP-LH","-17.6/658/-71.23"
"169","-17.6","-71.23","570","38","208.48","208.86","2","Owen 2002","strickly relationship","CWP-LH","-17.6/570/-71.23"
"170","-17.6","-71.23","600","36","335.84","191.88","3","Owen 2002","strickly relationship","CWP-LH","-17.6/600/-71.23"
"171","-17.6","-71.23","3640","68","136.37","281.31","4","Owen 2002","strickly relationship","CWP-LH","-17.6/3640/-71.23"
"172","-17.53","-71.35","5312","156","-21.36","344.36","1","Kennett et al. 2002","strickly relationship","MH","-17.53/5312/-71.35"
"173","-17.53","-71.35","5130","139.5","-161.65","335.24","2","Kennett et al. 2002","strickly relationship","MH","-17.53/5130/-71.35"
"174","-33.1","-71.8","16","2.5","201.34","116.99","1","Ingram&Southon 1996","strickly relationship","CWP","-33.1/16/-71.8"
"175","-53.181","-70.9223","16","2.5","210.93","126.34","2","Ingram&Southon 1996","strickly relationship","CWP","-53.181/16/-70.9223"
"176","0","-90","22","2.5","154.2","101.85","1","Taylor & Berger 1967","strickly relationship","CWP","0/22/-90"
"177","0","-90","24","2.5","145.91","98.19","2","Taylor & Berger 1967","strickly relationship","CWP","0/24/-90"
"178","-10","-80","20","2.5","230.44","131.36","3","Taylor & Berger 1967","strickly relationship","CWP","-10/20/-80"
"179","-14","-78","20","2.5","505.21","168.49","4","Taylor & Berger 1967","strickly relationship","CWP","-14/20/-78"
"180","-24","-70","26","2.5","150.02","112.68","5","Taylor & Berger 1967","strickly relationship","CWP","-24/26/-70"
"181","-33","-72","20","2.5","241.83","153.92","6","Taylor & Berger 1967","strickly relationship","CWP","-33/20/-72"
"182","-23.0329","-70.45425","63","3.5","178.32","172.49","1","Guiñez et al.2014","strickly relationship","CWP","-23.0329/63/-70.45425"
"183","-23.0329","-70.45425","33","3.5","207.69","176.03","2","Guiñez et al.2014","strickly relationship","CWP","-23.0329/33/-70.45425"
"184","-23.0329","-70.45425","112","11.5","158.41","164.81","3","Guiñez et al.2014","strickly relationship","CWP","-23.0329/112/-70.45425"
"185","-23.0329","-70.45425","54","4.5","297.3","167.72","4","Guiñez et al.2014","strickly relationship","CWP","-23.0329/54/-70.45425"
