Latitude;Longitude;pairs;calibrate curve;type of material;Convencial age;SD convencial age;reference;obs;period time
-8.2373;-78.9662;34;marine;Donax obesulus;642;46;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;34;normal;collected date;29.5;0.25;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;35;marine;Donax obesulus;584;53;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;35;normal;collected date;29.5;0.25;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;36;marine;Donax obesulus;578;50;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;36;normal;collected date;29.5;0.25;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;37;marine;Donax obesulus;569;69;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;37;normal;collected date;29.5;0.25;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;38;marine;Donax obesulus;602;77;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;38;normal;collected date;29.5;0.25;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;39;marine;Donax obesulus;521;34;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;39;normal;collected date;29.5;0.25;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;40;marine;Donax obesulus;688;55;Etayo et al.2019;reliable date;CWP
-8.2373;-78.9662;40;normal;collected date;29.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;41;marine;Donax obesulus;586;40;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;41;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;42;marine;Donax obesulus;551;31;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;42;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;43;marine;Donax obesulus;551;31;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;43;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;44;marine;Donax obesulus;551;33;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;44;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;45;marine;Donax obesulus;606;32;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;45;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;46;marine;Donax obesulus;454;39;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;46;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;47;marine;Donax obesulus;569;31;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;47;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;48;marine;Donax obesulus;576;31;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;48;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;49;marine;Donax obesulus;577;31;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;49;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;50;marine;Donax obesulus;570;32;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;50;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;51;marine;Donax obesulus;585;33;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;51;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;52;marine;Donax obesulus;586;31;Etayo et al.2019;reliable date;CWP
-4.6449;-81.3264;52;normal;collected date;26.5;0.25;Etayo et al.2019;reliable date;CWP
-16.33;-74.3;1;marine;mesodesma donacium;8255;88;Ortlieb et al. 2011;strickly relationship;EH
-16.33;-74.3;1;terrestrial;charcoal;7511;126;Ortlieb et al. 2011;strickly relationship;EH
-16.33;-74.3;2;marine;mesodesma donacium;9334;159;Ortlieb et al. 2011;strickly relationship;EH
-16.33;-74.3;2;terrestrial;charcoal;8892;132;Ortlieb et al. 2011;strickly relationship;EH
-17.23;-71.6;3;marine;concholepas concholepas;2810;60;Ortlieb et al. 2011;strickly relationship;CWP-LH
-17.23;-71.6;3;terrestrial;charcoal;2238;108;Ortlieb et al. 2011;strickly relationship;CWP-LH
-17.96;-70.88;4;marine;Perumytulus purpuratus;4145;60;Ortlieb et al. 2011;strickly relationship;MH
-17.96;-70.88;4;terrestrial;charcoal;3535;60;Ortlieb et al. 2011;strickly relationship;CWP-LH
-17.96;-70.88;5;marine;Chiton sp;3865;60;Ortlieb et al. 2011;strickly relationship;CWP-LH
-17.96;-70.88;5;terrestrial;charcoal;3535;60;Ortlieb et al. 2011;strickly relationship;CWP-LH
-17.96;-70.88;6;marine;Perumytulus purpuratus;4115;60;Ortlieb et al. 2011;strickly relationship;MH
-17.96;-70.88;6;terrestrial;charcoal;3515;40;Ortlieb et al. 2011;strickly relationship;CWP-LH
-17.96;-70.88;7;marine;Loxechinus albus ;4035;60;Ortlieb et al. 2011;strickly relationship;MH
-17.96;-70.88;7;terrestrial;charcoal;3515;40;Ortlieb et al. 2011;strickly relationship;CWP-LH
-17.96;-70.88;8;marine;Chiton sp;7505;60;Ortlieb et al. 2011;strickly relationship;EH
-17.96;-70.88;8;terrestrial;charcoal;6065;70;Ortlieb et al. 2011;strickly relationship;EH
-17.96;-70.88;9;marine;concholepas concholepas;7285;60;Ortlieb et al. 2011;strickly relationship;EH
